digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
0;625;0;0;0;83332;27556;83332;2987765;7812500;6250000;3125000;0;0;0;0;0;55444;0;27888;610;0;0;0;82639;0;27556;55444;9232983;4687500;6250000;3125000;0;0;625;0;27215;55776;55776;83332;3002039;6250000;4687500;1562500;620;625;0;625;27008;83332;27888;55776;4619696;4687500;3125000;3125000;623;625;625;0;27454;83332;0;0;6241252;3125000;1562500;0;625;0;0;0;55206;55776;0;83332;1502412;7812500;7812500;7812500;0;0;625;0;82462;55444;27556;0;6249012;3125000;1562500;1562500;
49;949;49;49;499;111220;69472;111220;5471874;11718124;9376249;9376249;49;49;49;49;499;111220;499;70135;949;49;49;49;111220;499;69472;111220;11718124;11718124;9376249;5471874;49;49;949;49;69472;70135;70135;111220;5471874;9376249;5471874;5471874;949;949;49;949;70135;111220;70135;70135;5471874;5471874;5471874;9376249;949;949;949;49;70135;111220;499;499;9376249;9376249;5471874;4999;949;49;49;49;70135;70135;499;111220;5471874;11718124;11718124;11718124;49;49;949;49;111220;111220;69472;499;9376249;9376249;5471874;5471874;
49;1225;49;49;499;111384;110722;111384;8088535;9376249;9376249;9376249;49;49;49;49;499;110889;499;110889;1215;49;49;49;111384;499;110722;110889;12496759;9376249;9376249;9373750;49;49;1225;49;106984;111384;111384;111384;8135919;9376249;9373750;9373750;1225;1225;49;1225;103429;111384;110889;111384;9373750;9373750;9373750;9376249;1224;1225;1225;49;106414;111384;499;499;12496905;9376249;9373750;4999;1225;49;49;49;111384;111384;499;111384;8276535;12497500;12497500;12497500;49;49;1225;49;111384;110889;110722;499;12497494;9376249;9373750;9373750;
49;1274;49;49;499;125249;83333;125249;5663867;12502499;12502499;9378124;49;49;49;49;499;125249;499;83832;1225;49;49;49;123752;499;83333;125249;12452509;12502499;12502499;9378124;49;49;1274;49;80339;125249;125249;125249;5683863;12502499;12502499;6253749;1274;1274;49;1274;78842;125249;83832;125249;11867626;12502499;9378124;9378124;1274;1274;1274;49;80339;125249;499;499;12457508;9378124;6253749;4999;1274;49;49;49;121257;125249;499;125249;5743851;12502499;12502499;12502499;49;49;1274;49;122255;125249;83333;499;12497500;9378124;6253749;6253749;
408;457;408;408;8372;8871;8871;8871;128385;133384;133384;128385;408;408;408;408;8372;8871;8372;8871;457;408;408;408;8372;8372;8871;8871;128385;128385;133384;128385;408;408;457;408;8372;8871;8871;8871;128385;133384;128385;128385;457;457;408;457;8871;8871;8871;8871;128385;128385;128385;128385;457;457;457;408;8372;8871;8372;8372;128385;128385;128385;123386;457;408;408;408;8871;8871;8372;8871;128385;133384;133384;133384;408;408;457;408;8871;8871;8871;8372;128385;128385;128385;128385;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
100;2032;-;-;1000;2543;-;-;10000;10176;-;-;100;1970;-;-;1000;2552;-;-;100;1997;-;-;1000;2550;-;-;10000;10152;-;-;100;1991;-;-;1000;2560;-;-;10000;10153;-;-;100;1974;-;-;1000;2562;-;-;10000;10173;-;-;100;2017;-;-;1000;2554;-;-;10000;10152;-;-;100;1917;-;-;1000;2552;-;-;10000;10160;-;-;100;2009;-;-;1000;2554;-;-;10000;10161;-;-;
203;203;203;203;3506;3944;3609;3944;55005;56255;55005;55005;203;203;203;203;3506;3698;3506;3634;203;203;203;203;3607;3506;3609;3698;55005;55005;55005;55005;203;203;203;203;3507;3698;3698;3944;55005;55005;55005;55005;203;203;203;203;3509;3944;3634;3698;55005;55005;55005;55005;203;203;203;203;3510;3944;3506;3506;55005;55005;55005;55005;203;203;203;203;3509;3698;3506;3944;55005;55005;55005;55005;203;203;203;203;3612;3698;3609;3506;55005;55005;55005;55005;
275;625;211;211;14166;10014;4888;10014;2314401;1590471;3129974;1588324;274;211;211;211;14904;28812;3673;4944;729;211;211;211;24835;3673;4888;28812;1971929;1588324;3131163;4711725;293;211;625;211;25479;29885;29885;10014;2297651;3129999;1591824;1592950;657;625;211;625;15938;10014;4944;29885;3447455;1591819;4711725;1588324;653;625;625;211;14137;10014;3673;3673;6165772;68644;54320;53437;595;211;211;211;49959;29885;3673;10014;2086424;6250000;6023179;6250000;250;211;625;211;17394;28812;4888;3673;6249060;1588324;54319;68644;
