digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
586;572;471;606;43474;49803;50959;46578;3628452;4121034;4067765;4065047;396;522;469;503;42709;47165;47163;49250;3625872;4083253;4120268;4134100;346;563;502;648;43598;46846;47595;45173;3659584;4078192;4010999;3960574;500;529;520;540;38923;53341;47583;50917;3696723;4140182;4078862;4049738;
1204;1197;1219;1225;123970;124672;124645;124540;12381097;12488854;12476590;12495154;1159;1204;1180;1219;123319;124705;124222;124597;12362040;12483304;12488320;12496275;1015;1197;1170;1219;123475;124560;124672;124285;12371749;12494097;12475134;12496174;1189;1197;1189;1224;123039;124519;124579;124315;12384450;12496759;12495730;12493129;
1054;1015;925;994;93375;98185;100660;91597;9082309;9229654;9100579;9118800;900;949;972;949;94615;95589;95830;96070;9100579;9118800;9221980;9361240;790;1015;925;1072;97020;94860;95347;88972;9103185;9144745;9126594;9014020;1015;994;994;949;87622;99099;95830;95104;9168010;9224539;9173169;9149922;
1127;1078;1176;1225;115269;122255;121257;120259;11292741;12172565;11992601;12332533;980;1078;1029;1176;111776;122754;116766;120758;11197760;12077584;12162567;12377524;833;1078;980;1176;112275;120259;122255;117265;11247750;12297540;11972605;12372525;1029;1078;1078;1225;110279;119760;120259;117764;11312737;12407518;12352529;12267546;
457;457;457;457;8871;9370;9370;9370;133384;148381;153380;153380;457;457;457;506;8871;9370;9370;9370;128385;148381;153380;148381;506;506;457;457;8372;9370;9370;9370;128385;148381;153380;148381;506;457;457;457;8871;9370;9370;9869;128385;153380;148381;153380;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
100;1975;-;-;1000;2541;-;-;10000;10178;-;-;100;2007;-;-;1000;2565;-;-;10000;10171;-;-;101;1989;-;-;1000;2556;-;-;10000;10159;-;-;100;1991;-;-;1000;2547;-;-;10000;10155;-;-;
225;244;269;272;3736;4725;4634;4490;58231;82228;81482;83613;241;278;262;257;3790;4676;4583;4659;58103;83155;80252;84708;230;301;242;238;3694;4604;4539;4497;58211;80100;79847;80681;240;273;235;287;3756;4489;4631;4555;58149;83298;79723;81895;
345;223;218;259;16633;4693;4497;9508;1267387;79840;78961;76098;279;260;270;235;14252;4419;5714;5681;1265288;85594;79098;84632;272;240;217;269;14394;5131;5087;4467;1266212;81056;74998;70756;274;246;224;216;14513;4449;4608;4192;1269278;80618;80035;74268;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
253;271;272;267;4074;4419;4397;4416;55127;59782;59747;59775;259;275;278;278;3920;4405;4371;4436;54578;59799;59740;59644;242;274;271;263;4007;4388;4413;4335;54766;59678;59791;59854;257;272;271;267;3985;4415;4434;4401;54837;59604;59750;59762;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;
202;106;-;-;13055;1590;-;-;1033111;93247;-;-;161;105;-;-;13420;1636;-;-;1053346;96426;-;-;200;102;-;-;13104;1551;-;-;1069820;96377;-;-;247;110;-;-;12734;1531;-;-;1035936;91891;-;-;
289;479;448;450;4144;4472;4487;4421;59108;61015;59729;60809;308;301;278;474;4000;4444;4343;4380;57004;63579;59881;60073;290;317;280;609;4506;4837;4403;4347;59765;62307;60007;60022;306;296;280;513;4381;4539;4395;4385;59836;60914;60447;59768;
381;327;406;390;6201;6216;6342;6227;93965;95493;95163;95379;279;371;326;399;6071;6291;6422;6304;94286;95398;95217;95489;315;344;361;414;6153;6517;6299;6357;93586;95080;95401;95094;311;364;387;359;6320;6500;6427;6398;93800;95377;95585;95159;
