;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-;;DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-
ListSize;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;AVG;;ListSize;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;AVG
InsertionSort;511;513;494;520;46004;47019;50460;48882;3670952;4096064;4039142;4125360;310196337;341880059;341834152;341375003;84463217;;InsertionSort;0,00000511;0,00000513;0,00000494;0,0000052;0,00046004;0,00047019;0,0005046;0,00048882;0,03670952;0,04096064;0,04039142;0,0412536;3,10196337;3,41880059;3,41834152;3,41375003;0,84463217
BubbleSort;1180;1189;1180;1222;123097;124189;124560;124285;12362560;12493759;12490479;12490479;1236936829;1249973872;1249927414;1249936497;314819549,4;;BubbleSort;0,0000118;0,00001189;0,0000118;0,00001222;0,00123097;0,00124189;0,0012456;0,00124285;0,1236256;0,12493759;0,12490479;0,12490479;12,36936829;12,49973872;12,49927414;12,49936497;3,148195494
ShakerSort;994;1015;972;925;99550;94615;99774;94369;9134379;9198904;9100579;9260260;833279854;860309514;859667170;856110789;215403353,9;;ShakerSort;0,00000994;0,00001015;0,00000972;0,00000925;0,0009955;0,00094615;0,00099774;0,00094369;0,09134379;0,09198904;0,09100579;0,0926026;8,33279854;8,60309514;8,5966717;8,56110789;2,154033539
OddEvenSort;1029;1078;1029;1176;110778;116766;120259;117265;11202759;12282543;12202559;12207558;1122377552;1248825023;1242275154;1243075138;306557354,1;;OddEvenSort;0,00001029;0,00001078;0,00001029;0,00001176;0,00110778;0,00116766;0,00120259;0,00117265;0,11202759;0,12282543;0,12202559;0,12207558;11,22377552;12,48825023;12,42275154;12,43075138;3,065573541
CombSort;457;457;457;457;8871;9370;9370;9370;133384;153380;148381;148381;1733411;2183402;2133403;2083404;547247,1875;;CombSort;0,00000457;0,00000457;0,00000457;0,00000457;0,00008871;0,0000937;0,0000937;0,0000937;0,00133384;0,0015338;0,00148381;0,00148381;0,01733411;0,02183402;0,02133403;0,02083404;0,005472472
SelectionSort;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;315649618,8;;SelectionSort;0,00001225;0,00001225;0,00001225;0,00001225;0,0012475;0,0012475;0,0012475;0,0012475;0,124975;0,124975;0,124975;0,124975;12,49975;12,49975;12,49975;12,49975;3,156496188
CountingSort;100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;27775;;CountingSort;0,000001;0,000001;#VALUE!;#VALUE!;0,00001;0,00001;#VALUE!;#VALUE!;0,0001;0,0001;#VALUE!;#VALUE!;0,001;0,001;#VALUE!;#VALUE!;#VALUE!
ShellSort;261;261;263;275;3746;4513;4723;4483;58513;80432;81693;83915;727523;1325866;1295435;1353801;314106,4375;;ShellSort;0,00000261;0,00000261;0,00000263;0,00000275;0,00003746;0,00004513;0,00004723;0,00004483;0,00058513;0,00080432;0,00081693;0,00083915;0,00727523;0,01325866;0,01295435;0,01353801;0,003141064
QuickSort;311;262;272;275;15602;4653;4795;4566;1270213;83572;79718;78243;125182194;1103723;1069694;1116189;8125892,625;;QuickSort;0,00000311;0,00000262;0,00000272;0,00000275;0,00015602;0,00004653;0,00004795;0,00004566;0,01270213;0,00083572;0,00079718;0,00078243;1,25182194;0,01103723;0,01069694;0,01116189;0,081258926
MergeSort;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;212761,5;;MergeSort;0,00000286;0,00000286;0,00000286;0,00000286;0,00004488;0,00004488;0,00004488;0,00004488;0,00061808;0,00061808;0,00061808;0,00061808;0,00784464;0,00784464;0,00784464;0,00784464;0,002127615
HeapSort;245;272;273;277;3976;4357;4406;4422;54724;59716;59792;59660;700641;768521;768512;768633;203651,6875;;HeapSort;0,00000245;0,00000272;0,00000273;0,00000277;0,00003976;0,00004357;0,00004406;0,00004422;0,00054724;0,00059716;0,00059792;0,0005966;0,00700641;0,00768521;0,00768512;0,00768633;0,002036517
BucketSort;109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;69460;;BucketSort;0,00000109;0,00000436;#VALUE!;#VALUE!;0,00001009;0,00004036;#VALUE!;#VALUE!;0,00010009;0,00040036;#VALUE!;#VALUE!;0,00100009;0,00400036;#VALUE!;#VALUE!;#VALUE!
RadixSort;609;108;-;-;46552;1718;-;-;3676000;101724;-;-;310246385;8239749;-;-;40289105,63;;RadixSort;0,00000609;0,00000108;#VALUE!;#VALUE!;0,00046552;0,00001718;#VALUE!;#VALUE!;0,03676;0,00101724;#VALUE!;#VALUE!;3,10246385;0,08239749;#VALUE!;#VALUE!;#VALUE!
IntroSort;363;274;281;274;4014;4413;4321;4386;54680;59727;59705;60057;694187;768466;768333;768219;203231,25;;IntroSort;0,00000363;0,00000274;0,00000281;0,00000274;0,00004014;0,00004413;0,00004321;0,00004386;0,0005468;0,00059727;0,00059705;0,00060057;0,00694187;0,00768466;0,00768333;0,00768219;0,002032313
TimSort;611;613;594;620;50004;51019;54460;52882;3747304;4172416;4115494;4201712;311289361;342973083;342927176;342468027;84756586;;TimSort;0,00000611;0,00000613;0,00000594;0,0000062;0,00050004;0,00051019;0,0005446;0,00052882;0,03747304;0,04172416;0,04115494;0,04201712;3,11289361;3,42973083;3,42927176;3,42468027;0,84756586
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
