digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
607;319;576;832;319;289;0;0;832;256;544;576;832;832;0;576;288;256;576;544;576;0;0;832;544;256;256;256;0;544;832;288;288;544;256;544;288;288;0;544;256;832;544;544;31250;46875;31250;62500;1000000;3000000;2000000;6000000;
1089;697;1089;1089;697;697;49;49;1089;697;697;1089;1089;1089;49;1089;697;697;1089;697;1089;49;49;1089;697;697;697;697;49;697;1089;697;697;697;697;697;697;697;49;697;697;1089;697;697;93874;93874;93874;93874;4503499;8001999;8001999;11998999;
1147;1072;1147;1147;1072;1072;49;49;1147;1072;1072;1147;1147;1147;49;1147;1072;1072;1147;1072;1147;49;49;1147;1072;1072;1072;1072;49;1072;1147;1072;1072;1072;1072;1072;1072;1072;49;1072;1072;1147;1072;1072;93874;93874;93874;93874;7999000;8001999;8001999;8001999;
1274;882;1274;1274;882;833;49;49;1274;833;1274;1274;1274;1274;49;1274;882;833;1274;1274;1274;49;49;1274;1274;833;833;833;49;1274;1274;882;882;1274;833;1274;882;882;49;1274;833;1274;1274;1274;94311;94311;94311;125249;5003999;7503499;7503499;12502499;
408;408;408;408;408;457;408;408;408;457;457;408;408;408;408;408;408;457;408;457;408;408;408;408;457;457;457;457;408;457;408;408;408;457;457;457;408;408;408;457;457;408;457;457;8871;8372;8871;8871;128385;128385;128385;128385;
1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
106;948;-;-;106;1009;-;-;105;1496;-;-;107;1293;-;-;104;753;-;-;107;1561;-;-;105;814;-;-;108;647;-;-;105;878;-;-;101;1007;-;-;104;1166;-;-;1002;2873;-;-;10003;10884;-;-;
203;203;203;204;203;203;203;203;204;203;204;203;204;204;203;203;203;203;203;204;203;203;203;204;204;203;203;203;203;204;204;203;203;204;203;204;203;203;203;204;203;204;204;204;3506;3506;3506;3631;55005;55005;55005;56088;
697;442;697;442;697;937;445;445;442;937;937;697;442;442;445;697;442;937;697;937;697;445;445;442;937;937;937;937;715;937;442;442;442;937;937;937;442;442;445;937;937;442;937;937;31872;32117;31872;32370;8503497;2510493;6506498;2506497;
286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
202;221;202;169;139;217;220;220;169;217;184;202;169;169;220;202;221;217;202;184;202;220;220;169;184;217;217;217;182;184;169;221;221;184;217;184;221;221;220;184;217;169;184;184;3571;3223;3571;2970;29822;48757;47091;47291;
109;327;-;-;109;327;-;-;109;436;-;-;109;436;-;-;109;327;-;-;109;436;-;-;109;327;-;-;109;327;-;-;109;327;-;-;109;327;-;-;109;436;-;-;1009;4036;-;-;10009;30027;-;-;
100;127;-;-;101;128;-;-;341;88;-;-;54;85;-;-;53;76;-;-;54;89;-;-;53;77;-;-;54;74;-;-;53;78;-;-;340;81;-;-;53;83;-;-;31753;544;-;-;1005003;5030;-;-;
216;222;216;208;149;217;220;220;208;217;222;216;208;208;220;216;222;217;216;222;216;220;220;208;222;217;217;217;182;222;208;222;222;222;217;222;222;222;220;222;266;225;222;222;3781;3601;3532;3352;32124;51805;47091;49411;
148;148;148;388;148;388;148;148;246;246;388;148;429;429;148;148;319;289;148;388;246;246;148;388;339;339;388;388;429;429;388;148;513;513;388;388;148;148;148;388;388;388;388;388;4682;4832;4682;4766;81195;81379;81435;81363;
