digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
148;112;66;130;75;90;102;64;35;102;104;79;75;41;63;61;97;82;71;78;35;78;109;87;83;51;68;84;97;100;71;70;62;61;79;111;58;98;96;67;52;92;41;77;7617;7775;6879;8282;712317;805002;783939;783551;
1197;1189;994;1219;847;925;1015;874;630;1089;900;522;900;559;900;790;1120;1035;1035;847;445;900;1035;190;1105;322;630;630;630;630;595;1120;1089;949;1072;595;1134;1015;1170;664;819;1204;697;847;116104;124630;118195;122539;12259105;12432520;12237219;12366684;
322;279;235;322;235;279;322;190;190;235;279;364;279;190;190;190;279;405;235;235;144;405;279;279;235;279;190;279;322;322;279;235;190;235;235;364;235;279;405;190;235;235;190;279;19639;14065;11700;17797;1337050;1417222;1398384;1256589;
1078;1078;735;1176;1029;686;784;588;441;882;833;833;784;441;637;833;882;784;882;588;294;637;1078;980;882;539;882;735;1029;1078;735;882;882;686;833;833;931;784;980;686;588;1078;588;882;92315;121257;103792;108782;11157768;11842631;11922615;11742651;
457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;408;457;457;457;8871;9370;9370;8871;128385;148381;143382;143382;
1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
100;2019;-;-;100;2028;-;-;100;2044;-;-;100;2006;-;-;100;1988;-;-;100;1918;-;-;100;2024;-;-;100;1990;-;-;100;1988;-;-;100;1968;-;-;100;2001;-;-;1000;2550;-;-;10000;10156;-;-;
208;220;207;211;205;214;213;220;208;221;214;225;203;215;225;212;211;220;211;233;203;231;243;215;207;209;218;229;206;218;219;212;205;231;232;224;206;216;235;217;207;221;217;225;3575;4167;4150;4185;56710;71828;74117;74403;
281;211;216;205;277;241;221;229;279;211;208;209;299;214;252;211;285;239;217;210;278;218;218;232;261;210;207;207;262;211;213;207;300;210;216;215;276;209;206;213;257;209;209;210;13775;3841;3773;4004;1271530;77790;75486;80229;
286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
266;289;287;289;267;285;293;291;265;291;293;284;249;288;290;286;267;289;292;291;267;289;288;284;260;282;285;285;255;277;290;289;247;290;290;278;266;289;291;292;265;295;294;288;3940;4591;4541;4580;51536;58142;58159;60511;
109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;
127;117;-;-;116;117;-;-;67;98;-;-;88;99;-;-;93;96;-;-;73;97;-;-;90;96;-;-;75;97;-;-;91;101;-;-;75;98;-;-;78;97;-;-;3438;793;-;-;275943;32120;-;-;
266;289;287;288;267;285;293;291;265;291;293;284;249;288;290;286;267;289;292;291;267;289;288;284;260;282;285;285;255;277;290;289;247;290;290;278;266;289;291;292;314;344;294;288;4439;5090;4555;4580;56535;63141;58159;60511;
175;182;163;181;171;156;183;175;253;268;202;176;429;431;184;169;116;125;158;182;260;267;171;182;339;340;180;175;430;429;182;166;513;513;169;195;171;182;184;170;160;176;167;192;4976;4948;4973;4951;85418;86093;86136;86182;
