digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
69;104;65;67;75;89;74;68;53;64;71;41;37;72;66;59;28;58;72;35;37;70;68;73;20;70;49;70;34;52;58;56;49;64;31;43;56;55;53;81;53;49;64;30;665;2287;1904;2400;14977;90668;90936;80155;
279;484;405;445;595;484;405;522;445;405;484;445;484;445;405;522;484;445;445;405;405;364;484;445;235;522;445;484;279;322;522;405;364;405;279;364;445;405;630;484;445;445;405;445;16870;25960;43344;28609;1398384;2270997;1487722;1739659;
235;405;405;405;322;364;364;364;322;364;364;405;322;405;364;484;322;405;364;364;322;364;405;445;279;364;279;364;279;279;322;364;322;405;364;322;322;279;322;405;364;322;405;279;18259;19180;17797;17797;680409;791959;791959;898164;
294;343;294;294;392;343;343;343;294;294;343;343;294;343;294;343;343;441;343;294;294;343;343;294;245;343;294;343;245;343;490;294;245;294;343;343;343;392;441;343;294;294;343;294;10479;18463;24451;15968;884823;1199760;784843;904819;
408;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;408;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;8871;9370;8871;9370;128385;138383;148381;148381;
1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
100;1966;-;-;101;2010;-;-;100;1945;-;-;100;1900;-;-;100;1974;-;-;100;2031;-;-;100;1989;-;-;100;1882;-;-;100;1995;-;-;100;2037;-;-;100;1960;-;-;1000;2553;-;-;10000;10167;-;-;
204;217;212;212;216;221;213;221;207;211;214;208;209;226;211;207;203;207;208;212;215;226;217;213;207;216;214;212;206;213;211;213;217;224;203;215;217;218;213;217;204;219;225;208;3511;3689;3628;3667;55096;57490;57445;57171;
265;212;210;217;294;211;223;205;254;210;213;208;277;217;214;220;268;226;217;218;302;218;213;214;267;221;220;209;259;217;228;214;276;213;214;221;272;217;230;220;244;210;208;210;13787;3815;4016;3870;1275261;55294;55314;55961;
286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
263;286;288;288;262;293;289;289;269;293;288;288;273;287;291;290;278;291;287;292;265;287;287;284;271;281;292;289;275;293;285;287;277;289;286;288;267;292;288;284;274;294;291;291;3907;4529;4534;4518;50818;62646;62640;62835;
109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;
110;114;-;-;127;113;-;-;70;98;-;-;77;101;-;-;76;97;-;-;67;98;-;-;69;110;-;-;79;98;-;-;74;99;-;-;71;98;-;-;107;96;-;-;1169;936;-;-;5640;31606;-;-;
263;286;288;288;262;293;289;289;269;293;288;288;273;287;291;290;278;291;287;292;265;287;287;284;271;281;292;289;275;293;285;287;277;289;286;288;267;292;288;284;323;343;291;291;4406;5028;4534;4518;55817;67645;62640;62835;
168;203;194;188;164;188;201;200;270;274;183;177;430;437;194;196;71;91;200;164;274;282;188;202;343;361;175;189;432;432;177;182;513;513;151;169;173;185;163;210;180;171;192;168;4671;5285;5088;5188;82226;88317;89576;87795;
