digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;
519;478;514;684;40723;48916;47614;46407;3733737;4063097;4117739;4122206;
1189;1197;1159;1215;123574;124497;124285;124614;12363597;12495547;12497065;12495730;
1015;949;1015;1089;92619;95589;96070;91080;9303372;9178324;9283120;9265347;
1078;1078;980;1127;113273;119760;117764;121257;11207758;12342531;12427514;12352529;
457;457;457;457;8871;9370;8871;9370;133384;143382;143382;143382;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
100;1985;-;-;1000;2550;-;-;10000;10166;-;-;
231;251;251;246;3729;4349;4606;4636;58113;79539;81709;82003;
332;285;282;214;14077;10905;4719;6029;1266263;79530;85202;79870;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
246;277;269;267;3950;4420;4400;4369;54610;59825;59679;59684;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;
195;117;-;-;12621;1622;-;-;1077384;96584;-;-;
420;317;285;280;4005;4879;4400;4382;58594;62438;60414;60292;
357;388;343;415;6126;6359;6270;6256;93552;95389;95179;95540;
