digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;500000;500000;500000;500000;
568;655;523;552;53812;60847;65680;63758;5544040;6284623;6179400;6328829;563850195;623921123;622774925;624495038;56326439178;62510930487;62363295616;62508566183;
1147;1204;1134;1159;123210;123622;124474;124579;12391009;12485565;12496122;12496870;1237547395;1249958164;1249921044;1249968330;123752673289;124999153222;124998563430;124999352614;
972;1054;874;972;90297;94369;100879;97722;9376249;9440872;9378747;9445815;935559574;936386554;937412497;940032247;93812593374;93830073319;93676832514;93838561810;
1029;1078;1127;1127;111776;122255;119261;120259;11347730;12332533;12367526;12412517;1125427491;1245425091;1244775104;1247125057;112514774970;124804250391;124663250673;124777250445;
457;457;457;457;8871;8871;9370;9370;133384;143382;148381;153380;1733411;2183402;2133403;2183402;21833426;26333417;24833420;24833420;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;124999750000;124999750000;124999750000;124999750000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;1000000;1000000;-;-;
228;246;275;244;3967;4770;4881;4967;61629;89696;90437;92578;778469;1550696;1511809;1555213;9588738;25155730;25495080;25211203;
332;251;279;260;14503;4474;4909;5143;1274392;70953;66959;65834;125230403;946471;921830;982566;12501696931;11239648;11539364;11536540;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;9475712;9475712;9475712;9475712;
248;264;268;267;3951;4301;4268;4292;54398;59519;59650;59623;690882;762701;762413;762656;8363503;9273823;9274511;9273213;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;1000009;4000036;-;-;
666;113;-;-;54360;2066;-;-;5549088;155281;-;-;563900243;14953787;-;-;56326939226;1490788591;-;-;
260;362;282;280;4001;4297;4381;4360;54963;59621;60284;60252;701567;772216;771473;762559;8410015;9393498;9372869;9365474;
668;755;623;652;57812;64847;69680;67758;5620392;6360975;6255752;6405181;564943219;625014147;623867949;625588062;56340419722;62524911031;62377276160;62522546727;
