date;date;date;date;date;date;date;digit;double;string;date;
50;500;5000;50000;50;50;50;500;500;500;500;
0;27556;3125000;700000000;0;0;625;27213;55444;27888;0;
49;69472;5471874;1050004999;49;49;949;70135;111220;70135;499;
49;110722;9373750;1199980000;49;49;1225;101959;110889;110889;499;
49;83333;9378124;1250024999;49;49;1274;77345;125249;83832;499;
408;8871;128385;1783410;408;408;457;8871;8871;8871;8372;
1225;124750;12497500;1249975000;1225;1225;1225;124750;124750;124750;124750;
-;-;-;-;-;-;-;1000;2551;-;-;
203;3609;55005;732949;203;203;203;3507;3698;3634;3506;
211;4888;4711725;50900391;211;211;625;15381;28812;4944;3673;
286;4488;61808;784464;286;286;286;4488;4488;4488;4488;
295;4396;59386;736854;295;295;250;3882;4264;4356;4604;
-;-;-;-;-;-;-;1009;4036;-;-;
-;-;-;-;-;-;-;8949;557;-;-;
295;4396;63432;782672;295;295;295;3829;4356;4602;4604;
148;4614;81279;1141941;148;148;316;4718;4718;4718;4484;
