digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;500000;500000;500000;500000;
832;288;256;288;78125;15625;62500;31250;3000000;10000000;1000000;6000000;347194445;347194445;624983333;694455554;45917918368;45918204080;51020448976;56121836736;
1089;697;697;697;117124;54999;117124;54999;8001999;11998999;4503499;10500499;694447222;694447222;1111088889;1111088889;61224367347;84183362245;102040397959;102040397959;
1147;1072;1072;1072;93874;93625;93874;93625;8001999;11998999;7999000;11998000;1111072222;1111072222;1111072222;1111155547;102040183672;102040183672;102040183672;102040397959;
1274;882;833;882;125249;62874;125249;93812;7503499;12502499;5003999;10002999;833333333;833333333;1041729165;1250024999;107143285713;107143285713;89286321427;107142285715;
408;408;457;408;8372;8871;8372;8871;123386;123386;128385;128385;1733411;1733411;1733411;1683412;21833426;21833426;21833426;21833426;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;124999750000;124999750000;124999750000;124999750000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;1000000;1000000;-;-;
204;203;203;203;3506;3506;3506;3506;55005;55009;55005;56083;700006;700008;708343;700009;8500007;8604659;8533195;8520406;
442;442;937;442;62624;32123;31748;31996;2508497;2505499;2506499;8503497;833350001;486105558;208408334;347269444;79080831632;68877056128;33163698975;33163841831;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;9475712;9475712;9475712;9475712;
169;221;217;221;2718;3291;3379;3313;46152;42996;46633;47968;545316;624397;629685;621022;6436630;7772220;7765514;7680757;
109;327;-;-;1009;4036;-;-;10009;30027;-;-;100009;400036;-;-;1000009;4000036;-;-;
930;98;-;-;78673;16173;-;-;3005048;5048;-;-;347244493;50048;-;-;45918418416;5102459232;-;-;
208;222;217;222;2958;3291;3223;3352;46152;46152;46633;49843;545316;624397;642148;613302;6218609;7553092;7753441;7623370;
388;148;356;388;4766;4568;66500;35250;81619;81787;1076352;6076352;1141761;1141611;626076357;695548578;14465087;14465451;51034429520;56135817280;
