digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;
91;83;110;60;7200;9186;7802;7726;688473;786969;819512;802038;69810886;80888321;81005093;79927313;
1134;445;972;994;117247;119599;120285;122797;12081172;12353584;12218122;12494725;1228218094;1245912325;1248481144;1247453865;
235;190;322;190;13122;15939;15004;15472;1341774;1242360;1417222;1247104;132393997;131211747;130218174;134662165;
931;931;1078;735;106287;107285;116766;109780;10857828;11732653;11542691;12317536;1126377472;1219575608;1246775064;1225875482;
457;457;457;457;8871;9370;9370;8871;128385;148381;148381;148381;1733411;2233401;2083404;2083404;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;
211;215;227;222;3574;4138;4091;4162;56313;70353;70804;72873;714072;1237691;1269697;1207676;
342;569;557;597;43673;57500;88942;53138;4059994;4726495;4635703;12215413;399164246;575348489;533440877;331251528;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;
272;288;287;295;3859;4520;4538;4472;51734;60789;58249;58882;654370;744761;744353;744769;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;
189;100;-;-;7748;793;-;-;693521;33129;-;-;69860934;2866943;-;-;
272;287;290;295;3859;4520;4538;4472;51734;60789;58249;58882;654370;744761;744353;744769;
191;183;210;160;11200;13186;11802;11726;764825;863321;895864;878390;70903910;81981345;82098117;81020337;
