digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;500000;500000;500000;500000;
18;73;37;33;1215;2619;2377;2611;9239;92268;92117;86097;0;2608810;2904328;2234682;1399608;80909729;88205911;87798256;
190;445;522;405;16405;38845;27289;27289;450814;1497105;1412514;2057335;49999;135700972;75716509;76637097;188928369;7020547110;3857270800;3840042330;
190;445;322;405;15472;18720;18259;15939;592740;816139;787120;902980;49999;44741844;38006239;41646780;359740440;2162067004;1895755279;1884342564;
343;343;343;294;14970;21956;18463;14970;554889;774845;769846;1079784;49999;69848603;38599228;54448911;1856496287;3561492877;3635492729;1944496111;
457;457;408;457;8871;8871;8871;8871;123386;138383;138383;143382;1683412;1983406;2083404;2083404;21333427;25333419;24333421;24833420;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;124999750000;124999750000;124999750000;124999750000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;1000000;1000000;-;-;
203;209;211;208;3534;3701;3643;3697;55044;57476;57513;57389;700006;747181;752790;737253;8500395;8885973;8929588;8925561;
284;213;231;211;14096;3832;3821;3839;1324405;55270;56181;55398;125972603;717487;721852;714559;12502300239;8816965;8818134;8830010;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;9475712;9475712;9475712;9475712;
266;284;292;294;3940;4523;4513;4493;50856;62508;62582;62671;643441;795142;793374;794546;7752577;9584441;9581741;9578462;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;1000009;4000036;-;-;
116;102;-;-;1763;1095;-;-;14287;37767;-;-;50048;1566980;-;-;1899656;57904062;-;-;
266;284;292;294;3940;4523;4513;4493;50856;62508;62582;62671;643441;795142;793374;794546;7752577;9584441;9581741;9578462;
118;173;137;133;5215;6619;6377;6611;85591;168620;168469;162449;1093024;3701834;3997352;3327706;15380152;94890273;102186455;101778800;

