digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;
584;604;595;584;52763;61780;63544;63142;5593912;6268231;6323186;6198574;562029260;625597104;621795872;623722502;
1215;1105;1204;1204;123210;124729;124519;124659;12359950;12494419;12497434;12491935;1237281759;1249826760;1249956472;1249913224;
972;994;1035;994;87075;94860;95589;94615;9326079;9455689;9497475;9371250;933223135;940032247;935509419;937962310;
1176;1029;1078;1078;111277;123752;122255;121756;11247750;12377524;12472505;12397520;1124077518;1245425091;1245225095;1247475050;
457;506;457;506;8871;8871;9370;9869;133384;148381;148381;148381;1733411;2133403;2233401;2133403;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;
226;237;250;316;3915;5146;4810;5016;62092;90042;93982;93100;772819;1472874;1558818;1583541;
692;485;610;547;47654;33171;86824;60560;3010024;10847690;7222040;2708030;818891367;704014167;723755422;748635604;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;
244;267;268;271;4078;4308;4288;4286;54265;59653;59582;59662;689568;762646;762649;762670;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;
682;111;-;-;53311;1931;-;-;5598960;152309;-;-;562079308;14995436;-;-;
262;279;272;271;4031;4366;4355;4399;53976;59800;59607;60313;689568;771499;765477;771267;
684;704;695;684;56763;65780;67544;67142;5670264;6344583;6399538;6274926;563122284;626690128;622888896;624815526;
