digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;500000;500000;500000;500000;
511;513;494;520;46004;47019;50460;48882;3670952;4096064;4039142;4125360;310196337;341880059;341834152;341375003;25560560941;28503187812;28386499159;28350602506;
1180;1189;1180;1222;123097;124189;124560;124285;12362560;12493759;12490479;12490479;1236936829;1249973872;1249927414;1249936497;123747674139;124999651210;124999663680;124998942915;
994;1015;972;925;99550;94615;99774;94369;9134379;9198904;9100579;9260260;833279854;860309514;859667170;856110789;74791223059;78008853670;77916225589;77776190497;
1029;1078;1029;1176;110778;116766;120259;117265;11202759;12282543;12202559;12207558;1122377552;1248825023;1242275154;1243075138;112489775020;124888750222;124896250207;124682750634;
457;457;457;457;8871;9370;9370;9370;133384;153380;148381;148381;1733411;2183402;2133403;2083404;21833426;25333419;25333419;25333419;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;124999750000;124999750000;124999750000;124999750000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;1000000;1000000;-;-;
261;261;263;275;3746;4513;4723;4483;58513;80432;81693;83915;727523;1325866;1295435;1353801;8777464;18978001;18710961;19606761;
311;262;272;275;15602;4653;4795;4566;1270213;83572;79718;78243;125182194;1103723;1069694;1116189;12502798470;14692350;14079234;14432815;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;9475712;9475712;9475712;9475712;
245;272;273;277;3976;4357;4406;4422;54724;59716;59792;59660;700641;768521;768512;768633;8514114;9384864;9386408;9386602;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;1000009;4000036;-;-;
609;108;-;-;46552;1718;-;-;3676000;101724;-;-;310246385;8239749;-;-;25561060989;679760549;-;-;
363;274;281;274;4014;4413;4321;4386;54680;59727;59705;60057;694187;768466;768333;768219;8489567;9358103;9395229;9363343;
611;613;594;620;50004;51019;54460;52882;3747304;4172416;4115494;4201712;311289361;342973083;342927176;342468027;25574541485;28517168356;28400479703;28364583050;
