digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;
288;832;832;0;31250;62500;62500;93750;4000000;7000000;4000000;6000000;624966667;486105555;416633334;763894443;
697;1089;1089;49;54999;93874;93874;117124;10500499;10500499;8001999;10500499;937487500;1111088889;937487500;1111088889;
1072;1147;1147;49;93625;93874;93874;124750;8001999;11998000;8001999;11998000;1111088889;1111072222;1111072222;1111155547;
882;1274;1274;49;94311;125249;125249;125249;10002999;12502499;7503499;10002999;1041679166;1041629167;833333333;1250024999;
408;408;408;408;8372;8871;8372;8871;123386;128385;128385;128385;1733411;1733411;1733411;1683412;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;
203;204;204;203;3506;3631;3506;3506;55341;55758;55005;55005;700007;700016;700014;720823;
442;442;442;445;109375;32370;31996;47000;3506497;5504497;8503497;2508492;1180519445;208424997;972186112;416716664;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;
221;169;169;220;2408;2970;3006;3078;43801;44475;49298;49095;517887;645897;613576;631261;
109;327;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;
386;98;-;-;31798;548;-;-;4005048;5048;-;-;625016715;50048;-;-;
222;208;208;220;2408;3352;3291;3347;46852;48861;45935;49644;515362;613831;613576;641411;
388;932;932;100;35250;66500;66500;97750;4076352;7076352;4076352;6076352;626059691;487198579;417726358;764987467;
