digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;
18;73;37;33;1215;2619;2377;2611;9239;92268;92117;86097;0;2608810;2904328;2234682;
190;445;522;405;16405;38845;27289;27289;450814;1497105;1412514;2057335;49999;135700972;75716509;76637097;
190;445;322;405;15472;18720;18259;15939;592740;816139;787120;902980;49999;44741844;38006239;41646780;
343;343;343;294;14970;21956;18463;14970;554889;774845;769846;1079784;49999;69848603;38599228;54448911;
457;457;408;457;8871;8871;8871;8871;123386;138383;138383;143382;1683412;1983406;2083404;2083404;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;
203;209;211;208;3534;3701;3643;3697;55044;57476;57513;57389;700006;747181;752790;737253;
284;213;231;211;14096;3832;3821;3839;1324405;55270;56181;55398;125972603;717487;721852;714559;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;
266;284;292;294;3940;4523;4513;4493;50856;62508;62582;62671;643441;795142;793374;794546;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;
116;102;-;-;1763;1095;-;-;14287;37767;-;-;50048;1566980;-;-;
266;284;292;294;3940;4523;4513;4493;50856;62508;62582;62671;643441;795142;793374;794546;
118;173;137;133;5215;6619;6377;6611;85591;168620;168469;162449;1093024;3701834;3997352;3327706;
